Year,County,Municipality,DEP Region,Client ID,Client Name,Pmry Fac ID,Latitude,Longitude,Facility Name,NAICS Code,NAICS Desc,NAICS Category,Permit Number,Spud Date,Facility Type,Compression Station Type,Source Type,Pollutant,Emission Amt(In Tons)
2019,Philadelphia,Philadelphia,SouthEast,309976,PHILA ENERGY SOLUTIONS REFINING & MARKETING LLC,749286,39.924444,-75.207222,PHILA ENERGY SOL REF/ PES,324110,Petroleum Refineries,Manufacturing,749286,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,1559307.853
2019,Philadelphia,Philadelphia,SouthEast,126345,GRAYS FERRY COGEN PARTNERSHIP,749362,39.9425,-75.187222,GRAYS FERRY COGEN PARTNERSHIP/PHILA,221118,Other Electric Power Generation,Utilities,23-2787187-1,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,719479.4
2019,Philadelphia,Philadelphia,SouthEast,83900,HONEYWELL INTL INC,749294,40.005288,-75.073532,ADVANSIX INC,325199,All Other Basic Organic Chemical Manufacturing,Manufacturing,23-1743283-58,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,165002.3116
2019,Philadelphia,Philadelphia,SouthEast,179943,VICINITY ENERGY PHILA INC,749361,39.9425,-75.187222,VICINITY ENERGY SCHUYLKILL STATION,221330,Steam and Air-Conditioning Supply,Utilities,23-2441968-1,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,59657.1
2019,Philadelphia,Philadelphia,SouthEast,308624,TEMPLE UNIV,749398,39.978611,-75.151111,TEMPLE UNIV/ MAIN CAMPUS,611310,"Colleges, Universities, and Professional Schools",Educational Services,23-1365971-1,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,41340.11
2019,Philadelphia,Philadelphia,SouthEast,143782,CHILDRENS HOSP OF PHILA,749394,39.947778,-75.193056,CHILDRENS HOSP OF PHILA/ PHILA,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,Health Care and Social Assistance,23-1352166-1,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,38683.7469
2019,Philadelphia,Philadelphia,SouthEast,205728,NEWMAN & CO INC,749340,40.014722,-75.053889,NEWMAN & CO/PAPER RECYCLER,322130,Paperboard Mills,Manufacturing,23-0967895-1,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,32679.084
2019,Philadelphia,Philadelphia,SouthEast,179943,VICINITY ENERGY PHILA INC,812112,39.94218,-75.18759,VICINITY ENERGY EFFICIENCY,221330,Steam and Air-Conditioning Supply,Utilities,27-4563705,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,31667
2019,Philadelphia,Philadelphia,SouthEast,308624,TEMPLE UNIV,749399,40.003611,-75.15,TEMPLE UNIV HEALTH SCIENCES CAMPUS/STEAM PLT,611310,"Colleges, Universities, and Professional Schools",Educational Services,23-1365971-2,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,30394.56
2019,Philadelphia,Philadelphia,SouthEast,309976,PHILA ENERGY SOLUTIONS REFINING & MARKETING LLC,749286,39.924444,-75.207222,PHILA ENERGY SOL REF/ PES,324110,Petroleum Refineries,Manufacturing,749286,NA,AEP - Air Emission Plant,NA,Process,Carbon Dioxide,24460.5978
2019,Philadelphia,Philadelphia,SouthEast,133940,PHILA CITY NORTHEAST WATER POLL PHILA CNTY,749408,39.985833,-75.100833,NORTHEAST WPCP/PHILA,924110,Administration of Air and Water Resource and Solid Waste Management Programs,Public Administration,09513-1,NA,AEP - Air Emission Plant,NA,Process,Carbon Dioxide,21844.7988
2019,Philadelphia,Philadelphia,SouthEast,286873,PHILA INTL AIRPORT,749407,39.875556,-75.245556,PHILA INTL AIRPORT/PHILA,481111,Scheduled Passenger Air Transportation,Transportation and Warehousing,23-6003047-2,NA,AEP - Air Emission Plant,NA,Combustion Unit,Carbon Dioxide,17463.2891
